taxon,num
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus,23
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Williamsia,24
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Acidothermaceae;Acidothermus,25
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales,26
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium,27
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Pseudactinotalea,28
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Demequinaceae;Demequina,29
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermabacteraceae;Brachybacterium,30
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermabacteraceae;Dermabacter,31
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermabacteraceae;Helcobacillus,32
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermatophilaceae;Piscicoccus,33
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae,34
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Janibacter,35
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Ornithinimicrobium,36
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Tetrasphaera,37
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Curtobacterium,38
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium,39
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Pseudoclavibacter,40
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae,41
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria,42
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Micrococcus,43
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Nesterenkonia,44
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Paeniglutamicibacter,45
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Pseudarthrobacter,46
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Pseudoglutamicibacter,47
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Rothia,48
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Promicromonosporaceae;Xylanibacterium,49
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides,50
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium,51
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Friedmanniella,52
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionibacterium,53
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionicicella,54
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionimicrobium,55
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Tessaracoccus,56
Bacteria;Actinobacteriota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia,57
Bacteria;Actinobacteriota;Actinobacteria;Streptosporangiales,58
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales,59
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae,60
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium,61
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium;Atopobium vaginae,62
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella,63
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis,64
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae,65
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;DNF00809,66
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enterorhabdus,67
Bacteria;Actinobacteriota;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter,68
Bacteria;Bacteroidota,69
Bacteria;Bacteroidota;Bacteroidia,70
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales,71
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,72
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Proteiniphilum,73
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;F082,74
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter,75
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae,76
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae,77
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae,78
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas,79
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae,80
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella,81
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella,82
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella timonensis,83
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae NK3B31 group,84
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae UCG-001,85
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae UCG-003,86
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes,87
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae RC9 gut group,88
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides,89
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;p-2534-18B5 gut group,90
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter,91
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Antarcticibacterium,92
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium,93
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium,94
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Cloacibacterium,95
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Empedobacter,96
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Nubsella,97
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter,98
Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;Arcobacter,99
Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter,100
Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;Caldilinea,101
Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Herpetosiphonaceae;Herpetosiphon,102
Bacteria;Cyanobacteria;Cyanobacteriia,103
Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast,104
Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales,105
Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Coleofasciculaceae;Microcoleus PCC-7113,106
Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Phormidiaceae;Planktothrix NIVA-CYA 15,107
Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales,108
Bacteria;Deinococcota;Deinococci;Thermales;Thermaceae;Meiothermus,109
Bacteria;Deinococcota;Deinococci;Thermales;Thermaceae;Thermus,110
Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Bilophila,111
Bacteria;Desulfobacterota;Desulfuromonadia;Bradymonadales,112
Bacteria;Elusimicrobiota;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;Elusimicrobium,113
Bacteria;Firmicutes,114
Bacteria;Firmicutes;Bacilli,115
Bacteria;Firmicutes;Bacilli;Acholeplasmatales;Acholeplasmataceae;Anaeroplasma,116
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae,117
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus,118
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus,119
Bacteria;Firmicutes;Bacilli;Bacillales;Marinococcaceae;Marinococcus,120
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Planococcus,121
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Planomicrobium,122
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Rummeliibacillus,123
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae,124
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Asteroleplasma,125
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Catenibacterium,126
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Erysipelatoclostridium,127
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Erysipelotrichaceae UCG-003,128
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;UCG-004,129
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae,130
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Bulleidia,131
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-006,132
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-008,133
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Holdemanella,134
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Solobacterium,135
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter,136
Bacteria;Firmicutes;Bacilli;Exiguobacterales;Exiguobacteraceae;Exiguobacterium,137
Bacteria;Firmicutes;Bacilli;Lactobacillales,138
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus,139
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Eremococcus,140
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Facklamia,141
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Globicatella,142
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopococcus,143
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella,144
Bacteria;Firmicutes;Bacilli;Lactobacillales;Catellicoccaceae;Catellicoccus,145
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae,146
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus,147
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus,148
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus iners,149
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus,150
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae,151
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc,152
Bacteria;Firmicutes;Bacilli;Lactobacillales;P5D1-392,153
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae,154
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus,155
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus,156
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus agalactiae,157
Bacteria;Firmicutes;Bacilli;Mycoplasmatales;Mycoplasmataceae;Mycoplasma,158
Bacteria;Firmicutes;Bacilli;Mycoplasmatales;Mycoplasmataceae;Mycoplasma;Mycoplasma hominis,159
Bacteria;Firmicutes;Bacilli;Mycoplasmatales;Mycoplasmataceae;Ureaplasma,160
Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Ammoniibacillus,161
Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus,162
Bacteria;Firmicutes;Bacilli;RF39,163
Bacteria;Firmicutes;Bacilli;Staphylococcales;Gemellaceae;Gemella,164
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae,165
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Aliicoccus,166
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Jeotgalicoccus,167
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Nosocomiicoccus,168
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus,169
Bacteria;Firmicutes;Clostridia,170
Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group,171
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014,172
Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group,173
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1,174
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Sarcina,175
Bacteria;Firmicutes;Clostridia;Hungateiclostridiaceae;Fastidiosipila,176
Bacteria;Firmicutes;Clostridia;Hungateiclostridiaceae;Mageibacillus,177
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae,178
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter,179
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes,180
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia,181
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Catonella,182
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus,183
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Dorea,184
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Fusicatenibacter,185
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;GCA-900066575,186
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Howardella,187
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Johnsonella,188
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium,189
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira,190
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae AC2044 group,191
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae FCS020 group,192
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae FE2018 group,193
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae ND3007 group,194
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group,195
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-001,196
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-003,197
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-004,198
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-008,199
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-010,200
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia,201
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Moryella,202
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium,203
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia,204
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Shuttleworthia,205
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Tuzzerella,206
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Tyzzerella,207
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] eligens group,208
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] fissicatena group,209
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] hallii group,210
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] ruminantium group,211
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] ventriosum group,212
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] xylanophilum group,213
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] gauvreauii group,214
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] torques group,215
Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;Monoglobus,216
Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;Butyricicoccus,217
Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;UCG-008,218
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae,219
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter,220
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Intestinimonas,221
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;NK4A214 group,222
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter,223
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002,224
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-003,225
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-005,226
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-007,227
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae,228
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;CAG-352,229
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium,230
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Fournierella,231
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Incertae Sedis,232
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus,233
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum,234
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;UBA1819,235
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;[Eubacterium] siraeum group,236
Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010,237
Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group,238
Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae,239
Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;Peptococcus,240
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales,241
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerococcus,242
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae,243
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII AD3011 group,244
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII UCG-001,245
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Mogibacterium,246
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;S5-A14a,247
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] nodatum group,248
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Ezakiella,249
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Fenollaria,250
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Finegoldia,251
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Gallicola,252
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Helcococcus,253
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Murdochiella,254
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Parvimonas,255
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptoniphilus,256
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae,257
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Criibacterium,258
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Intestinibacter,259
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptostreptococcus,260
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Romboutsia,261
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Terrisporobacter,262
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;W5053,263
Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium,264
Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Succiniclasticum,265
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales,266
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae,267
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Anaerovibrio,268
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Mitsuokella,269
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Selenomonas,270
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae,271
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Anaeroglobus,272
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister,273
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Megasphaera,274
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Negativicoccus,275
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Veillonella,276
Bacteria;Firmicutes;Symbiobacteriia;Symbiobacteriales;Caldinitratiruptor,277
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales,278
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae,279
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium,280
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae,281
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia,282
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia,283
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;Sneathia amnii,284
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;Sneathia sanguinegens,285
Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Roseisolibacter,286
Bacteria;Gemmatimonadota;Longimicrobia;Longimicrobiales;Longimicrobiaceae;YC-ZSS-LKJ147,287
Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae,288
Bacteria;Myxococcota;Polyangia;Polyangiales;Polyangiaceae;Pajaroellobacter,289
Bacteria;Patescibacteria;Gracilibacteria;Absconditabacteriales (SR1),290
Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales,291
Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae,292
